Feature,Mean,Standard Deviation
Feature 478,3.21081545189889e-17,0.9999999999999999
Feature 479,-1.0231714465579569e-15,1.0000000000000002
Feature 480,-5.360358621622006e-15,1.0000000000000004
Feature 481,-1.7561709662252476e-16,0.9999999999999999
Feature 482,-2.5282806151691066e-15,0.9999999999999999
Feature 483,-7.246728469826021e-15,1.0
Feature 484,-2.41221184441284e-15,0.9999999999999999
Feature 485,-2.007989734083408e-15,0.9999999999999998
Feature 486,8.130112744647084e-15,1.0000000000000002
Feature 487,-6.8854013399934706e-15,1.0
Feature 488,3.0031532816110485e-15,1.0000000000000002
Feature 489,6.578576067733428e-15,1.0
Feature 490,5.950858492844511e-15,1.0
Feature 491,3.498211821227993e-15,0.9999999999999999
Feature 492,-5.490557503600774e-15,1.0000000000000002
Feature 493,-1.0829720958389026e-15,0.9999999999999999
Feature 494,1.4947639086089607e-15,0.9999999999999997
Feature 495,-3.634466465159262e-15,1.0
Feature 496,-1.7152188760214607e-14,0.9999999999999996
Feature 497,1.941880999435274e-15,1.0000000000000002
Feature 498,2.866393990850404e-15,1.0
Feature 499,-7.681734036747333e-15,0.9999999999999997
Feature 500,6.247527747663381e-16,1.0000000000000002
Feature 501,2.9663140630666683e-15,1.0
Feature 502,-5.439083527004517e-15,1.0
Feature 503,-4.74973595807817e-15,1.0000000000000002
Feature 504,2.0655194726321663e-15,0.9999999999999999
Feature 505,6.7471281087447014e-15,1.0
Feature 506,-4.915260118113194e-16,0.9999999999999998
Feature 507,6.439798189655283e-15,0.9999999999999999
Feature 508,1.9662049766111522e-14,0.9999999999999999
Feature 509,8.478066733501196e-17,0.9999999999999999
Feature 510,-7.876527712886111e-15,0.9999999999999997
Feature 511,1.7824126013527513e-15,1.0000000000000002
Feature 512,7.367843708876039e-16,1.0000000000000007
Feature 513,-2.5676430678603622e-15,1.0
Feature 514,-1.127381016823909e-15,1.0
Feature 515,1.8438281204876973e-14,1.0
Feature 516,-8.191048849294124e-16,1.0
Feature 517,3.319062196799843e-15,1.0000000000000002
Feature 518,-8.801040704301241e-16,1.0000000000000002
Feature 519,-5.236215501595738e-15,1.0000000000000002
Feature 520,8.50908280074099e-15,1.0000000000000002
Feature 521,9.487360392251338e-15,0.9999999999999999
Feature 522,1.6643252432789846e-15,1.0000000000000004
Feature 523,-6.207156001313375e-16,0.9999999999999999
Feature 524,6.059799127135854e-15,1.0000000000000002
Feature 525,-1.6956133467002392e-15,1.0
Feature 526,5.259429255746992e-15,0.9999999999999997
Feature 527,1.1139069464795945e-14,0.9999999999999998
Feature 528,3.704612374442397e-15,1.0000000000000002
Feature 529,4.589258266336897e-15,1.0
Feature 530,-2.6342564493378714e-15,1.0000000000000002
Feature 531,-9.57819682153885e-16,1.0
Feature 532,2.274216168920227e-14,0.9999999999999984
Feature 533,-2.76748321229289e-15,1.0000000000000002
Feature 534,-2.008999027742158e-15,1.0000000000000002
Feature 535,-5.587702018255476e-16,0.9999999999999998
Feature 536,-1.3585092646776915e-15,0.9999999999999998
Feature 537,-6.3212061847521414e-15,0.9999999999999999
Feature 538,3.063117941111541e-14,0.9999999999999996
Feature 539,1.7703010774477496e-15,1.0000000000000009
Feature 540,-5.368937617721382e-15,1.0
Feature 541,8.276208001751167e-17,1.0
Feature 542,-1.5810585164320979e-15,0.9999999999999999
Feature 543,2.896925124027596e-15,1.0
Feature 544,5.7392222287753406e-15,1.0
Feature 545,-1.113250905601407e-15,0.9999999999999999
Feature 546,-1.1929851046426683e-15,1.0
Feature 547,2.6332471556791213e-15,0.9999999999999999
Feature 548,3.216366567022016e-15,1.0
Feature 549,-1.7309386247564942e-15,0.9999999999999999
Feature 550,3.742460886645528e-15,1.0
Feature 551,4.275367938465603e-15,1.0000000000000002
Feature 552,1.2353754383101742e-15,1.0000000000000002
Feature 553,1.2547538765581769e-14,0.9999999999999999
